epoch	b	wa
1784722124	0	1
1784722125	0	0
1784722126	0	0
1784722127	0	0
1784722128	0	0
1784722129	1	0
1784722130	0	3
1784722131	0	0
1784722132	0	0
1784722133	0	0
1784722134	0	0
1784722135	0	0
1784722136	0	0
1784722137	0	0
1784722138	0	0
1784722139	0	0
1784722140	0	0
1784722141	0	0
1784722142	1	1
1784722143	0	3
1784722144	0	0
1784722145	0	1
1784722146	0	0
1784722147	0	0
1784722148	0	0
1784722149	0	0
1784722150	0	0
1784722151	0	0
1784722152	0	0
1784722153	0	0
1784722154	0	2
1784722155	0	0
1784722156	0	0
1784722157	0	0
1784722158	0	0
1784722159	0	0
1784722160	0	1
1784722161	0	0
1784722162	0	0
1784722163	0	0
1784722164	0	0
1784722165	0	0
1784722166	0	0
1784722167	0	1
1784722168	0	1
1784722169	0	0
1784722170	0	0
1784722171	0	0
1784722172	0	0
1784722173	0	0
1784722174	0	0
1784722175	0	0
1784722176	0	0
1784722177	0	0
1784722178	0	0
1784722180	0	0
1784722181	0	0
1784722182	0	1
1784722183	0	0
1784722184	0	0
