epoch	b	wa
1784718887	1	5
1784718888	1	5
1784718889	2	6
1784718890	1	6
1784718891	1	5
1784718892	1	5
1784718893	1	5
1784718894	1	5
1784718895	1	5
1784718896	1	5
1784718897	1	5
1784718898	1	5
1784718899	1	5
1784718900	1	5
1784718901	1	5
1784718902	1	5
1784718903	1	5
1784718904	2	5
1784718905	1	5
1784718906	1	5
1784718907	1	5
1784718908	1	5
1784718909	1	7
1784718910	1	5
1784718911	0	4
1784718912	1	5
1784718913	1	5
1784718914	1	9
1784718915	1	5
1784718916	2	5
1784718917	1	5
1784718918	1	5
1784718919	1	5
1784718920	2	5
1784718921	1	6
1784718922	1	5
1784718923	1	5
1784718925	1	5
1784718926	1	5
1784718927	1	5
1784718928	1	6
1784718929	1	4
1784718930	1	5
1784718931	0	5
1784718932	1	5
1784718933	1	5
1784718934	1	5
1784718935	1	5
1784718936	1	5
1784718937	1	5
1784718938	0	5
1784718939	1	4
1784718940	1	5
1784718941	1	5
1784718942	2	5
1784718943	1	5
1784718944	1	5
1784718945	1	4
1784718946	1	5
1784718947	1	5
