epoch	b	wa
1784717931	2	14
1784717932	2	9
1784717933	2	9
1784717934	2	10
1784717935	2	10
1784717936	2	11
1784717937	2	10
1784717938	2	13
1784717939	2	9
1784717940	1	10
1784717941	2	9
1784717942	2	9
1784717943	2	9
1784717944	2	8
1784717945	2	11
1784717946	2	10
1784717947	2	10
1784717948	2	10
1784717949	2	11
1784717950	2	10
1784717951	2	10
1784717952	2	11
1784717953	2	9
1784717954	3	15
1784717955	3	13
1784717956	2	10
1784717957	2	9
1784717958	2	10
1784717959	2	10
1784717960	3	9
1784717961	2	11
1784717962	2	9
1784717963	2	10
1784717964	2	10
1784717965	2	10
1784717966	3	9
1784717967	4	11
1784717968	3	14
1784717969	3	11
1784717970	2	9
1784717971	2	10
1784717972	2	10
1784717973	2	10
1784717974	3	10
1784717975	3	11
1784717976	2	10
1784717977	3	10
1784717978	2	14
1784717979	2	10
1784717980	2	9
1784717981	2	9
1784717982	2	8
1784717983	2	8
1784717984	4	11
1784717985	2	14
1784717986	4	13
1784717987	2	13
1784717988	2	9
1784717989	2	9
1784717990	2	10
1784717991	2	10
1784717992	1	8
1784717993	2	7
1784717994	3	11
1784717995	1	12
1784717996	2	10
1784717997	2	10
1784717998	2	10
1784717999	2	10
1784718000	2	10
1784718001	2	9
1784718002	2	9
1784718003	2	8
1784718004	2	10
1784718005	2	10
1784718006	3	10
1784718007	2	11
1784718008	2	8
1784718009	2	10
1784718010	2	10
1784718011	2	9
1784718012	2	10
1784718013	2	10
1784718015	3	15
1784718016	2	13
1784718017	2	10
1784718018	2	5
1784718019	2	9
1784718020	2	9
1784718021	2	10
1784718022	2	9
1784718023	2	10
1784718024	2	10
1784718025	1	10
1784718026	2	10
1784718027	2	10
1784718028	2	11
1784718029	2	10
1784718030	2	10
1784718031	2	10
1784718032	2	8
1784718033	2	10
1784718034	1	10
1784718035	1	10
1784718036	2	12
1784718037	2	9
1784718038	2	10
1784718039	2	13
1784718040	2	10
1784718041	2	10
1784718042	2	9
1784718043	2	9
1784718044	2	10
1784718045	2	10
1784718046	2	10
1784718047	2	9
1784718048	2	11
1784718049	1	10
1784718050	2	10
1784718051	2	10
1784718052	2	10
1784718053	2	10
1784718054	2	9
1784718055	1	10
1784718056	2	7
1784718057	3	11
1784718058	2	8
1784718059	3	14
1784718060	3	12
1784718061	1	11
1784718062	3	13
1784718063	2	12
1784718064	2	10
1784718065	2	10
1784718066	2	9
1784718067	2	9
1784718068	2	10
1784718069	2	9
1784718070	2	10
1784718071	3	12
1784718072	3	12
1784718073	2	11
1784718074	3	13
1784718075	2	13
1784718076	2	10
1784718077	2	10
1784718078	2	10
1784718079	2	10
1784718080	3	9
1784718081	2	10
1784718082	2	9
1784718083	2	10
1784718084	2	9
1784718085	2	10
1784718086	2	9
1784718087	2	12
1784718088	2	10
1784718089	2	8
1784718090	2	10
1784718091	2	9
1784718092	2	12
1784718093	2	8
1784718094	2	6
1784718095	2	10
1784718096	3	10
1784718097	2	10
1784718098	2	10
1784718099	2	9
1784718101	1	10
1784718102	2	10
1784718103	2	8
1784718104	2	10
1784718105	2	10
1784718106	2	10
1784718107	2	8
1784718108	2	10
1784718109	2	9
1784718110	2	8
1784718111	3	14
1784718112	2	10
1784718113	2	10
1784718114	2	9
1784718115	2	10
1784718116	2	8
1784718117	2	10
1784718118	2	10
1784718119	2	10
1784718120	2	10
1784718121	1	10
1784718122	2	10
1784718123	2	10
1784718124	2	10
1784718125	3	11
1784718126	2	12
1784718127	2	10
1784718128	2	9
1784718129	2	9
1784718130	2	8
1784718131	2	9
1784718132	2	10
1784718133	2	8
1784718134	3	8
1784718135	2	11
1784718136	3	16
1784718137	2	10
1784718138	1	10
1784718139	2	10
1784718140	2	10
1784718141	3	10
1784718142	2	9
1784718143	2	10
1784718144	2	10
1784718145	2	9
1784718146	2	10
1784718147	3	12
1784718148	2	11
1784718149	2	9
1784718150	2	9
1784718151	2	9
1784718152	3	9
1784718153	3	10
1784718154	1	10
1784718155	2	10
1784718156	2	8
1784718157	2	9
1784718158	2	9
1784718159	2	9
1784718160	2	10
